longitude,latitude,village,district,languoid,language,languoid_C,village_C,language_С
40.23,45.02,Khakurinokhabl,ra,Abadzex,Adyghe,абадзехский,Хакуринохабль,адыгейский
40.072682,44.631132,Zapadnyy,ra,Bzhedukh,Adyghe,бжедугский,Западный,адыгейский
40.225833,44.644722,Oktyabrskiy,ra,Bzhedukh,Adyghe,бжедугский,Октябрьский,адыгейский
38.836944,44.933889,Novobzhegokay,ra,Bzhedukh,Adyghe,бжедугский,Новобжегокай,адыгейский
39.0025,44.994444,Kozet,ra,Bzhedukh,Adyghe,бжедугский,Козет,адыгейский
38.894722,45.034167,Starobzhegokay,ra,Bzhedukh,Adyghe,бжедугский,Старобжегокай,адыгейский
38.936994,45.023972,Novaya Adygeya,ra,Bzhedukh,Adyghe,бжедугский,Новая Адыгея,адыгейский
38.992778,44.921111,Takhtamukay,ra,Bzhedukh,Adyghe,бжедугский,Тахтамукай,адыгейский
39.066682,44.883942,Shendzhiy,ra,Bzhedukh,Adyghe,бжедугский,Шенджий,адыгейский
39.114444,44.950833,Tugurgoy,ra,Bzhedukh,Adyghe,бжедугский,Тугургой,адыгейский
39.467778,44.845,Assokolay,ra,Bzhedukh,Adyghe,бжедугский,Ассоколай,адыгейский
39.457778,44.874722,Krasnoye,ra,Bzhedukh,Adyghe,бжедугский,Красное,адыгейский
39.283333,44.866667,Vochepshiy,ra,Bzhedukh,Adyghe,бжедугский,Вочепший,адыгейский
39.275,44.905,Novovochepshiy,ra,Bzhedukh,Adyghe,бжедугский,Нововочепший,адыгейский
39.41,44.946389,Dzhidzhikhabl',ra,Bzhedukh,Adyghe,бжедугский,Джиджихабль,адыгейский
39.476111,44.983056,Kunchukokhabl',ra,Bzhedukh,Adyghe,бжедугский,Кунчукохабль,адыгейский
39.4175,44.905,Neshukay,ra,Bzhedukh,Adyghe,бжедугский,Нешукай,адыгейский
39.367778,44.965,Tauykhabl',ra,Bzhedukh,Adyghe,бжедугский,Тауйхабль,адыгейский
39.383056,44.883056,Ponezhukay,ra,Bzhedukh,Adyghe,бжедугский,Понежукай,адыгейский
39.39023,44.915421,Kolos,ra,Bzhedukh,Adyghe,бжедугский,Колос,адыгейский
39.382778,44.9225,Nachereziy,ra,Bzhedukh,Adyghe,бжедугский,Начерезий,адыгейский
39.369444,44.941667,Pshikuykhabl',ra,Bzhedukh,Adyghe,бжедугский,Пшикуйхабль,адыгейский
39.266111,44.887778,Pchegatlukay,ra,Bzhedukh,Adyghe,бжедугский,Пчегатлюкай,адыгейский
39.174722,44.9025,Kazazovo,ra,Bzhedukh,Adyghe,бжедугский,Казазово,адыгейский
39.153554,44.87391,Chetuk,ra,Bzhedukh,Adyghe,бжедугский,Четук,адыгейский
39.566944,44.926111,Gabukay,ra,Bzhedukh,Adyghe,бжедугский,Габукай,адыгейский
40.174167,45.065556,Pshicho,ra,Bzhedukh,Adyghe,бжедугский,Пшичо,адыгейский
39.233689,44.892527,Gatlukay,ra,Bzhedukh,Adyghe,бжедугский,Гатлукай,адыгейский
39.208056,44.835,Psekups,ra,Bzhedukh,Adyghe,бжедугский,Псекупс,адыгейский
39.07,44.184722,Aguy-Shapsug,kk,Shapsug,Adyghe,шапсугский,Агуй-Шапсуг,адыгейский
38.953618,44.28361,Psebe,kk,Shapsug,Adyghe,шапсугский,Псебе,адыгейский
39.447133,43.968217,Tkhagapsh,kk,Shapsug,Adyghe,шапсугский,Тхагапш,адыгейский
38.781944,44.999167,Afipsip,ra,Shapsug,Adyghe,шапсугский,Афипсип,адыгейский
38.715489,44.987351,Panakhes,ra,Shapsug,Adyghe,шапсугский,Панахес,адыгейский
38.706389,45.051111,Pseytuk,ra,Shapsug,Adyghe,шапсугский,Псейтук,адыгейский
38.756111,45.045278,Khashtuk,ra,Shapsug,Adyghe,шапсугский,Хаштук,адыгейский
41.38389,44.835,Uspenskoye,kk,Temirgoy,Adyghe,темиргоевский,Успенское,адыгейский
39.3425,44.075833,Bolshoye Pseushkho,kk,Temirgoy,Adyghe,темиргоевский,Большое Псеушхо,адыгейский
39.301667,44.116389,Maloye Pseushkho,kk,Temirgoy,Adyghe,темиргоевский,Малое Псеушхо,адыгейский
40.317685,44.954747,Khachemziy,ra,Temirgoy,Adyghe,темиргоевский,Хачемзий,адыгейский
39.861389,45.083889,Dzhambichi,ra,Temirgoy,Adyghe,темиргоевский,Джамбичи,адыгейский
39.4975,45.068889,Adamiy,ra,Temirgoy,Adyghe,темиргоевский,Адамий,адыгейский
40.392222,44.9975,Egerukhay,ra,Temirgoy,Adyghe,темиргоевский,Егерухай,адыгейский
38.988056,44.865,Natukhay,ra,Temirgoy,Adyghe,темиргоевский,Натухай,адыгейский
40.311389,44.993333,Dzherokay,ra,Temirgoy,Adyghe,темиргоевский,Джерокай,адыгейский
40.217222,45.011389,Mamkheg,ra,Temirgoy,Adyghe,темиргоевский,Мамхег,адыгейский
40.183056,45.046111,Kabekhabl',ra,Temirgoy,Adyghe,темиргоевский,Кабехабль,адыгейский
40.110278,45.092222,Pshizov,ra,Temirgoy,Adyghe,темиргоевский,Пшизов,адыгейский
40.188611,45.072222,Khatazhukay,ra,Temirgoy,Adyghe,темиргоевский,Хатажукай,адыгейский
